Time,Accel_X,Accel_Y,Accel_Z,Raw_Roll,Raw_Pitch,Raw_Yaw
46,0.27,-0.39,9.75,-2.27,-1.56,34.2
46,0.27,-0.39,9.75,-2.27,-1.56,34.2
46,0.27,-0.39,9.75,-2.27,-1.56,34.2
46,0.27,-0.39,9.75,-2.27,-1.56,34.2
46,0.27,-0.39,9.75,-2.27,-1.56,35.41
46,0.3,-0.43,9.75,-2.5,-1.77,35.41
46,0.3,-0.43,9.75,-2.5,-1.77,35.41
46,0.3,-0.43,9.75,-2.5,-1.77,35.41
46,0.3,-0.43,9.75,-2.5,-1.77,35.41
46,0.3,-0.43,9.75,-2.5,-1.77,34.12
46,0.3,-0.43,9.75,-2.5,-1.77,34.12
46,0.3,-0.43,9.75,-2.5,-1.77,34.12
46,0.3,-0.43,9.79,-2.49,-1.76,34.12
46,0.3,-0.43,9.79,-2.49,-1.76,34.12
46,0.3,-0.43,9.79,-2.49,-1.76,32.83
46,0.3,-0.43,9.79,-2.49,-1.76,32.83
46,0.3,-0.43,9.79,-2.49,-1.76,32.83
46,0.3,-0.43,9.79,-2.49,-1.76,32.83
46,0.3,-0.43,9.79,-2.49,-1.76,32.83
46,0.3,-0.43,9.79,-2.49,-1.76,34.96
46,0.3,-0.43,9.79,-2.49,-1.76,34.96
46,0.3,-0.43,9.79,-2.49,-1.76,33.05
46,0.3,-0.43,9.79,-2.49,-1.76,33.05
46,0.3,-0.43,9.79,-2.49,-1.76,33.05
46,0.3,-0.43,9.79,-2.49,-1.76,33.05
46,0.3,-0.43,9.79,-2.49,-1.76,33.05
46,0.3,-0.43,9.79,-2.49,-1.76,34.46
46,0.3,-0.43,9.79,-2.49,-1.76,34.46
46,0.3,-0.43,9.79,-2.49,-1.76,34.46
46,0.3,-0.43,9.79,-2.49,-1.76,34.46
46,0.3,-0.43,9.79,-2.49,-1.76,34.46
46,0.3,-0.43,9.79,-2.49,-1.76,34.07
46,0.3,-0.43,9.79,-2.49,-1.76,34.07
46,0.3,-0.43,9.79,-2.49,-1.76,34.07
46,0.3,-0.43,9.79,-2.49,-1.76,34.07
46,0.3,-0.43,9.79,-2.49,-1.76,34.07
46,0.3,-0.43,9.79,-2.49,-1.76,35.81
47,0.3,-0.43,9.79,-2.49,-1.76,35.81
47,0.3,-0.43,9.79,-2.49,-1.76,35.81
47,0.3,-0.43,9.79,-2.49,-1.76,35.81
47,0.3,-0.43,9.79,-2.49,-1.76,35.81
47,0.3,-0.43,9.79,-2.49,-1.76,35.22
47,0.27,-0.43,9.79,-2.49,-1.55,35.22
47,0.27,-0.43,9.79,-2.49,-1.55,35.22
47,0.27,-0.43,9.79,-2.49,-1.55,35.22
47,0.27,-0.43,9.79,-2.49,-1.55,35.22
47,0.27,-0.43,9.79,-2.49,-1.55,36.63
47,0.3,-0.39,9.79,-2.26,-1.76,36.63
47,0.3,-0.39,9.79,-2.26,-1.76,36.63
47,0.3,-0.39,9.79,-2.26,-1.76,36.63
47,0.3,-0.39,9.79,-2.26,-1.76,36.63
47,0.3,-0.39,9.79,-2.26,-1.76,36.63
47,0.27,-0.54,9.79,-3.15,-1.55,36.63
47,0.27,-0.54,9.79,-3.15,-1.55,36.63
47,0.27,-0.54,9.79,-3.15,-1.55,36.63
47,0.27,-0.54,9.79,-3.15,-1.55,36.63
47,0.27,-0.54,9.79,-3.15,-1.55,33.71
47,0.34,-0.43,9.79,-2.49,-1.99,33.71
47,0.34,-0.43,9.79,-2.49,-1.99,33.71
47,0.34,-0.43,9.79,-2.49,-1.99,33.71
47,0.34,-0.43,9.79,-2.49,-1.99,33.71
47,0.34,-0.43,9.79,-2.49,-1.99,32.39
47,0.27,-0.43,9.75,-2.5,-1.56,32.39
47,0.27,-0.43,9.75,-2.5,-1.56,32.39
47,0.27,-0.43,9.75,-2.5,-1.56,32.39
47,0.27,-0.43,9.75,-2.5,-1.56,32.39
47,0.27,-0.43,9.75,-2.5,-1.56,34.4
47,0.27,-0.46,9.75,-2.73,-1.56,34.4
47,0.27,-0.46,9.75,-2.73,-1.56,34.4
47,0.27,-0.46,9.75,-2.73,-1.56,34.4
47,0.27,-0.46,9.75,-2.73,-1.56,34.4
47,0.27,-0.46,9.75,-2.73,-1.56,34.49
47,0.27,-0.46,9.75,-2.73,-1.56,34.49
47,0.27,-0.46,9.75,-2.73,-1.56,34.49
47,0.27,-0.46,9.75,-2.73,-1.56,34.49
47,0.27,-0.43,9.75,-2.5,-1.56,34.49
47,0.27,-0.43,9.75,-2.5,-1.56,36.93
47,0.27,-0.43,9.75,-2.5,-1.56,36.93
47,0.27,-0.43,9.75,-2.5,-1.56,36.93
