Time,Gyro_X,Gyro_Y,Gyro_Z,EKF_Roll,EKF_Pitch,EKF_Yaw,DMP_Roll,DMP_Pitch,DMP_Yaw
241.0,0.0,0.0,0.0,36.54,-14.56,16.29,-2.2,-3.46,36.79
241.0,0.0,0.0,0.0,36.54,-14.56,16.29,-2.64,-3.16,0.06
241.0,0.0,-0.0,0.0,36.55,-14.57,16.3,-2.64,-3.16,0.06
241.0,0.0,-0.0,0.0,36.55,-14.57,16.3,-2.2,-3.46,36.79
241.0,0.0,-0.0,0.0,36.55,-14.57,16.3,-2.2,-3.46,36.79
241.0,0.0,-0.0,0.0,36.55,-14.57,16.3,-2.2,-3.46,36.79
241.0,0.0,-0.0,0.0,36.55,-14.57,16.3,-2.64,-3.16,0.06
241.0,0.0,-0.0,0.0,36.55,-14.57,16.3,-2.64,-3.16,0.06
241.0,0.0,0.0,0.0,36.57,-14.56,16.32,-2.64,-3.16,0.06
241.0,0.0,0.0,0.0,36.57,-14.56,16.32,-2.2,-3.46,36.79
241.0,0.0,0.0,0.0,36.57,-14.56,16.32,-2.64,-3.16,0.06
241.0,0.0,0.0,0.0,36.57,-14.56,16.32,-2.64,-3.16,0.06
241.0,0.0,0.0,0.0,36.57,-14.56,16.32,-2.64,-3.16,0.06
241.0,0.0,-0.0,0.0,36.59,-14.58,16.32,-2.64,-3.16,0.06
241.0,0.0,-0.0,0.0,36.59,-14.58,16.32,-2.2,-3.46,36.79
242.0,0.0,-0.0,0.0,36.59,-14.58,16.32,-2.64,-3.16,0.06
242.0,0.0,-0.0,0.0,36.59,-14.58,16.32,-2.64,-3.16,0.06
242.0,0.0,-0.0,0.0,36.59,-14.58,16.32,-2.64,-3.16,0.06
242.0,0.0,0.0,0.0,36.61,-14.57,16.32,-2.64,-3.16,0.06
242.0,0.0,0.0,0.0,36.61,-14.57,16.32,-2.2,-3.46,36.79
242.0,0.0,0.0,0.0,36.61,-14.57,16.32,-2.64,-3.16,0.06
242.0,0.0,0.0,0.0,36.61,-14.57,16.32,-2.64,-3.16,0.06
242.0,0.0,0.0,0.0,36.61,-14.57,16.32,-2.64,-3.16,0.06
242.0,-0.0,-0.0,0.0,36.6,-14.58,16.32,-2.64,-3.16,0.06
242.0,-0.0,-0.0,0.0,36.6,-14.58,16.32,-2.2,-3.46,36.79
242.0,-0.0,-0.0,0.0,36.6,-14.58,16.32,-2.64,-3.16,0.06
242.0,-0.0,-0.0,0.0,36.6,-14.58,16.32,-2.64,-3.16,0.06
242.0,-0.0,-0.0,0.0,36.6,-14.58,16.32,-2.64,-3.16,0.06
242.0,0.0,-0.0,0.0,36.61,-14.59,16.33,-2.64,-3.16,0.06
242.0,0.0,-0.0,0.0,36.61,-14.59,16.33,-2.2,-3.46,36.79
242.0,0.0,-0.0,0.0,36.61,-14.59,16.33,-2.64,-3.16,0.06
242.0,0.0,-0.0,0.0,36.61,-14.59,16.33,-2.64,-3.16,0.06
242.0,0.0,-0.0,0.0,36.61,-14.59,16.33,-2.64,-3.16,0.06
242.0,0.0,-0.0,0.0,36.62,-14.61,16.33,-2.64,-3.16,0.06
242.0,0.0,-0.0,0.0,36.62,-14.61,16.33,-2.2,-3.46,36.79
242.0,0.0,-0.0,0.0,36.62,-14.61,16.33,-2.64,-3.16,0.06
242.0,0.0,-0.0,0.0,36.62,-14.61,16.33,-2.64,-3.16,0.06
242.0,0.0,-0.0,0.0,36.62,-14.61,16.33,-2.64,-3.16,0.06
242.0,0.0,-0.0,0.0,36.63,-14.63,16.34,-2.64,-3.16,0.06
242.0,0.0,-0.0,0.0,36.63,-14.63,16.34,-2.2,-3.46,36.79
242.0,0.0,-0.0,0.0,36.63,-14.63,16.34,-2.64,-3.16,0.06
242.0,0.0,-0.0,0.0,36.63,-14.63,16.34,-2.64,-3.16,0.06
242.0,0.0,-0.0,0.0,36.63,-14.63,16.34,-2.64,-3.16,0.06
242.0,0.01,-0.0,0.0,36.67,-14.64,16.35,-2.64,-3.16,0.06
242.0,0.01,-0.0,0.0,36.67,-14.64,16.35,-2.2,-3.46,36.79
242.0,0.01,-0.0,0.0,36.67,-14.64,16.35,-2.64,-3.16,0.06
242.0,0.01,-0.0,0.0,36.67,-14.64,16.35,-2.64,-3.16,0.06
